,Unnamed: 0_x,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Unnamed: 0_y,Song,Main composer,Singer
28,45,HERE COMES THE SUN,The Beatles,Abbey Road,185733,7,1969,82,0.557,0.54,9,0.84,1,0.0347,0.0339,0.00248,0.179,0.39399999999999996,129.171,6.0,HERE COMES THE SUN,Harrison,Harrison
29,46,BECAUSE,The Beatles,Abbey Road,165666,8,1969,59,0.32799999999999996,0.249,2,0.56,1,0.0272,0.754,5.77e-06,0.134,0.162,81.257,7.0,BECAUSE,Lennon,Lennon/McCartney/Harrison
30,47,YOU NEVER GIVE ME YOUR MONEY,The Beatles,Abbey Road,242973,9,1969,58,0.335,0.41600000000000004,0,0.379,1,0.0348,0.345,0.136,0.11599999999999999,0.223,174.46400000000003,8.0,YOU NEVER GIVE ME YOUR MONEY,McCartney,McCartney
31,48,SUN KING,The Beatles,Abbey Road,146266,10,1969,56,0.483,0.177,2,0.504,1,0.0277,0.284,0.499,0.11599999999999999,0.192,74.994,9.0,SUN KING,Lennon,Lennon
32,49,MEAN MR MUSTARD,The Beatles,Abbey Road,66533,11,1969,55,0.6759999999999999,0.596,4,0.48200000000000004,1,0.0272,0.0699,1.9600000000000002e-05,0.35100000000000003,0.97,100.68700000000001,10.0,MEAN MR MUSTARD,Lennon,Lennon
33,50,POLYTHENE PAM,The Beatles,Abbey Road,72640,12,1969,55,0.474,0.9390000000000001,11,0.5660000000000001,0,0.19899999999999998,0.00472,0.674,0.19,0.499,166.829,11.0,POLYTHENE PAM,Lennon,Lennon
34,51,SHE CAME IN THROUGH THE BATHROOM WINDOW,The Beatles,Abbey Road,118626,13,1969,58,0.53,0.72,2,0.769,1,0.0338,0.0037600000000000003,3.3799999999999995e-05,0.314,0.69,80.652,12.0,SHE CAME IN THROUGH THE BATHROOM WINDOW,McCartney,McCartney
35,52,GOLDEN SLUMBERS,The Beatles,Abbey Road,91760,14,1969,64,0.419,0.152,0,0.5920000000000001,1,0.0277,0.326,0.0034,0.113,0.239,80.608,13.0,GOLDEN SLUMBERS,McCartney,McCartney
36,53,CARRY THAT WEIGHT,The Beatles,Abbey Road,96466,15,1969,61,0.5429999999999999,0.45799999999999996,0,0.405,1,0.0274,0.226,0.00663,0.298,0.7040000000000001,84.319,14.0,CARRY THAT WEIGHT,McCartney,McCartney
37,54,THE END,The Beatles,Abbey Road,141613,16,1969,57,0.647,0.48700000000000004,11,0.0,0,0.0689,0.00101,0.285,0.138,0.222,123.444,15.0,THE END,McCartney,McCartney
