,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
161,Baby's Request - Remastered 1993,Wings,Back To The Egg,171400,14,1979-06-06,37,0.741,0.0875,7,1,0.0512,0.88,0.0,0.151,0.578,87.524
162,London Town - Remastered 1993,Wings,London Town (Expanded Edition),249493,1,1978-03-31,38,0.464,0.268,9,1,0.0326,0.432,8.46e-05,0.0943,0.189,83.742
163,Cafe On The Left Bank - Remastered 1993,Wings,London Town (Expanded Edition),205200,2,1978-03-31,30,0.517,0.562,2,0,0.0297,0.000456,0.0668,0.0871,0.743,130.752
164,I'm Carrying - Remastered 1993,Wings,London Town (Expanded Edition),163373,3,1978-03-31,30,0.164,0.16,4,1,0.0344,0.898,4.81e-05,0.359,0.382,182.506
165,Backwards Traveller - Remastered 1993,Wings,London Town (Expanded Edition),69026,4,1978-03-31,27,0.686,0.487,0,1,0.0342,0.0362,0.00112,0.195,0.68,114.167
166,Cuff Link - Remastered 1993,Wings,London Town (Expanded Edition),118840,5,1978-03-31,35,0.584,0.43,0,0,0.0333,0.106,0.788,0.101,0.742,80.741
167,Children Children - Remastered 1993,Wings,London Town (Expanded Edition),142026,6,1978-03-31,25,0.351,0.338,7,1,0.0365,0.0154,0.000731,0.165,0.692,166.41
168,Girlfriend - Remastered 1993,Wings,London Town (Expanded Edition),279160,7,1978-03-31,29,0.643,0.318,9,0,0.0257,0.462,0.000208,0.277,0.654,103.034
169,I've Had Enough - Remastered 1993,Wings,London Town (Expanded Edition),182026,8,1978-03-31,29,0.622,0.584,2,1,0.0365,0.0147,0.0544,0.272,0.671,127.222
170,With A Little Luck - Remastered 1993,Wings,London Town (Expanded Edition),344773,9,1978-03-31,52,0.652,0.372,6,0,0.0321,0.0682,0.000199,0.0923,0.28,111.986
171,Famous Groupies - Remastered 1993,Wings,London Town (Expanded Edition),215493,10,1978-03-31,26,0.424,0.443,9,0,0.0855,0.0515,9.26e-05,0.565,0.828,168.307
172,Deliver Your Children - Remastered 1993,Wings,London Town (Expanded Edition),256760,11,1978-03-31,37,0.526,0.662,9,0,0.0357,0.0386,2.72e-06,0.203,0.838,170.382
173,Name And Address - Remastered 1993,Wings,London Town (Expanded Edition),187466,12,1978-03-31,24,0.451,0.478,9,1,0.0347,0.031,0.073,0.149,0.76,94.869
174,Don't Let It Bring You Down - Remastered 1993,Wings,London Town (Expanded Edition),273666,13,1978-03-31,26,0.481,0.315,7,1,0.0261,0.237,0.0551,0.137,0.641,155.951
175,Morse Moose And The Grey Goose - Remastered 1993,Wings,London Town (Expanded Edition),386413,14,1978-03-31,25,0.293,0.684,2,1,0.0759,0.0007,0.562,0.36,0.466,118.775
176,Girl's School - 1993 Digital Remaster,Wings,London Town (Expanded Edition),278160,15,1978-03-31,24,0.481,0.826,11,1,0.0373,2.05e-05,0.0149,0.295,0.789,139.181
177,Mull Of Kintyre - Remastered 1993,Wings,London Town (Expanded Edition),282533,16,1978-03-31,51,0.35,0.297,2,1,0.0265,0.000285,0.0,0.123,0.423,90.603
178,Let 'Em In - Remastered 2014,Wings,Wings At The Speed Of Sound (Archive Collection),311880,1,1976-03-25,0,0.761,0.482,10,1,0.0572,0.491,0.31,0.0864,0.626,88.054
179,The Note You Never Wrote - Remastered 2014,Wings,Wings At The Speed Of Sound (Archive Collection),260986,2,1976-03-25,0,0.336,0.153,9,0,0.0316,0.825,0.00114,0.0958,0.0709,104.96
180,She’s My Baby - Remastered 2014,Wings,Wings At The Speed Of Sound (Archive Collection),188360,3,1976-03-25,0,0.812,0.427,0,1,0.0824,0.559,3.72e-05,0.161,0.573,97.436
181,Beware My Love - Remastered 2014,Wings,Wings At The Speed Of Sound (Archive Collection),388146,4,1976-03-25,0,0.551,0.571,2,0,0.0314,0.0354,0.00324,0.105,0.246,126.549
182,Wino Junko - Remastered 2014,Wings,Wings At The Speed Of Sound (Archive Collection),321333,5,1976-03-25,0,0.597,0.634,2,0,0.0341,0.283,0.0601,0.0876,0.775,129.051
183,Silly Love Songs - Remastered 2014,Wings,Wings At The Speed Of Sound (Archive Collection),354240,6,1976-03-25,0,0.742,0.471,0,1,0.0326,0.134,0.0903,0.284,0.815,124.95
184,Cook Of The House - Remastered 2014,Wings,Wings At The Speed Of Sound (Archive Collection),159173,7,1976-03-25,0,0.622,0.834,9,1,0.572,0.643,0.0336,0.874,0.515,143.271
185,Time To Hide - Remastered 2014,Wings,Wings At The Speed Of Sound (Archive Collection),272133,8,1976-03-25,0,0.592,0.46,2,1,0.0256,0.293,0.000261,0.53,0.602,107.752
186,Must Do Something About It - Remastered 2014,Wings,Wings At The Speed Of Sound (Archive Collection),223266,9,1976-03-25,0,0.808,0.478,5,0,0.038,0.471,0.000145,0.058,0.664,101.12
187,San Ferry Anne - Remastered 2014,Wings,Wings At The Speed Of Sound (Archive Collection),127813,10,1976-03-25,0,0.523,0.467,9,0,0.0297,0.299,0.000239,0.215,0.871,83.58
188,Warm And Beautiful - Remastered 2014,Wings,Wings At The Speed Of Sound (Archive Collection),195626,11,1976-03-25,0,0.346,0.114,0,1,0.0328,0.966,0.0239,0.118,0.333,135.185
189,Venus And Mars - Remastered 2014,Wings,Venus And Mars (Archive Collection),78800,1,1975-05-27,0,0.514,0.363,2,1,0.027,0.529,0.000848,0.586,0.494,78.268
190,Rock Show - Remastered 2014,Wings,Venus And Mars (Archive Collection),332706,2,1975-05-27,0,0.366,0.854,2,1,0.0833,0.0847,0.00067,0.635,0.593,132.725
191,Love In Song - Remastered 2014,Wings,Venus And Mars (Archive Collection),183546,3,1975-05-27,0,0.376,0.301,0,1,0.0249,0.607,0.0,0.099,0.161,75.378
192,You Gave Me The Answer - Remastered 2014,Wings,Venus And Mars (Archive Collection),134840,4,1975-05-27,0,0.566,0.325,2,1,0.0312,0.941,2e-05,0.211,0.473,83.914
193,Magneto And Titanium Man - Remastered 2014,Wings,Venus And Mars (Archive Collection),196080,5,1975-05-27,0,0.585,0.667,2,1,0.0498,0.725,8.66e-06,0.1,0.606,130.548
194,Letting Go - Remastered 2014,Wings,Venus And Mars (Archive Collection),272493,6,1975-05-27,0,0.531,0.526,9,0,0.0294,0.251,0.0106,0.294,0.706,99.531
195,Venus And Mars (Reprise) - Remastered 2014,Wings,Venus And Mars (Archive Collection),125520,7,1975-05-27,0,0.396,0.318,2,1,0.0269,0.426,1.95e-05,0.56,0.214,81.702
196,Spirits Of Ancient Egypt - Remastered 2014,Wings,Venus And Mars (Archive Collection),178813,8,1975-05-27,0,0.364,0.703,2,1,0.12,0.502,0.000727,0.873,0.57,131.201
197,Medicine Jar - Remastered 2014,Wings,Venus And Mars (Archive Collection),217026,9,1975-05-27,0,0.386,0.857,9,0,0.0798,0.12,6.12e-06,0.668,0.762,139.07
198,Call Me Back Again - Remastered 2014,Wings,Venus And Mars (Archive Collection),298906,10,1975-05-27,0,0.284,0.577,10,1,0.0393,0.314,0.000722,0.0579,0.644,168.69
199,Listen To What The Man Said - Remastered 2014,Wings,Venus And Mars (Archive Collection),240986,11,1975-05-27,0,0.499,0.616,7,1,0.0392,0.179,0.000151,0.552,0.622,113.254
200,Treat Her Gently – Lonely Old People - Remastered 2014,Wings,Venus And Mars (Archive Collection),263680,12,1975-05-27,0,0.319,0.412,2,1,0.0278,0.483,1.1e-06,0.12,0.3,103.686
201,Crossroads - Remastered 2014,Wings,Venus And Mars (Archive Collection),63133,13,1975-05-27,0,0.172,0.658,9,1,0.0537,0.000216,0.661,0.103,0.406,150.746
202,Band On The Run - Remastered 2010,Wings,Band On The Run (Standard),313026,1,1973-12-05,72,0.479,0.601,7,1,0.0318,0.0832,0.00142,0.11,0.669,124.966
203,Jet - Remastered 2010,Wings,Band On The Run (Standard),248360,2,1973-12-05,60,0.504,0.739,9,1,0.0316,0.0179,0.08,0.0949,0.417,128.918
204,Bluebird - Remastered 2010,Wings,Band On The Run (Standard),203160,3,1973-12-05,48,0.765,0.395,5,0,0.0279,0.0774,0.00223,0.103,0.706,88.149
205,Mrs Vandebilt - Remastered 2010,Wings,Band On The Run (Standard),279546,4,1973-12-05,47,0.696,0.641,9,1,0.0309,0.0442,0.0271,0.302,0.749,126.97
206,Let Me Roll It - Remastered 2010,Wings,Band On The Run (Standard),289813,5,1973-12-05,57,0.338,0.407,4,1,0.0371,0.0327,0.00246,0.081,0.519,172.595
207,Mamunia - Remastered 2010,Wings,Band On The Run (Standard),290893,6,1973-12-05,40,0.59,0.34,2,1,0.0242,0.0866,0.0,0.27,0.576,82.698
208,No Words - Remastered 2010,Wings,Band On The Run (Standard),155480,7,1973-12-05,37,0.517,0.52,9,1,0.0257,0.239,2.31e-05,0.159,0.647,100.073
209,Picasso’s Last Words (Drink to Me) - Remastered 2010,Wings,Band On The Run (Standard),348986,8,1973-12-05,38,0.505,0.341,0,1,0.0636,0.363,0.000326,0.059,0.441,103.893
210,Nineteen Hundred And Eighty Five - Remastered 2010,Wings,Band On The Run (Standard),331853,9,1973-12-05,55,0.528,0.655,0,0,0.0262,0.0102,0.723,0.377,0.367,115.285
211,Big Barn Bed - 2018 Remaster,Wings,Red Rose Speedway,230186,1,1973-04-30,1,0.502,0.569,10,1,0.0284,0.0189,0.0,0.402,0.83,90.304
212,My Love - 2018 Remaster,Wings,Red Rose Speedway,247733,2,1973-04-30,2,0.41,0.361,5,1,0.0351,0.431,0.000174,0.0779,0.134,120.0
213,Get On The Right Thing - 2018 Remaster,Wings,Red Rose Speedway,257226,3,1973-04-30,2,0.396,0.735,9,1,0.0396,0.0448,5.68e-05,0.103,0.248,91.066
214,One More Kiss - 2018 Remaster,Wings,Red Rose Speedway,149680,4,1973-04-30,1,0.704,0.319,7,1,0.0309,0.404,4.76e-06,0.225,0.707,111.054
215,Little Lamb Dragonfly - 2018 Remaster,Wings,Red Rose Speedway,383826,5,1973-04-30,2,0.479,0.379,4,0,0.0261,0.497,0.0,0.142,0.524,78.093
216,Single Pigeon - 2018 Remaster,Wings,Red Rose Speedway,113160,6,1973-04-30,1,0.705,0.16,10,1,0.0375,0.963,0.00129,0.1,0.281,108.125
217,When The Night - 2018 Remaster,Wings,Red Rose Speedway,217773,7,1973-04-30,1,0.717,0.381,0,1,0.0326,0.577,9.97e-06,0.11,0.39,89.552
218,Loup (1st Indian On The Moon) - 2018 Remaster,Wings,Red Rose Speedway,263613,8,1973-04-30,1,0.351,0.354,4,0,0.0496,0.178,0.878,0.098,0.283,153.199
219,Medley: Hold Me Tight/Lazy Dynamite/Hands Of Love/Power Cut - 2018 Remaster,Wings,Red Rose Speedway,681280,9,1973-04-30,1,0.435,0.441,9,1,0.0299,0.272,0.0,0.203,0.408,90.54
220,Mumbo - Remastered 2018,Wings,Wild Life,235520,1,1971-12-07,33,0.564,0.67,10,1,0.0358,0.00234,0.00729,0.193,0.726,119.961
221,Bip Bop - Remastered 2018,Wings,Wild Life,250146,2,1971-12-07,32,0.746,0.385,4,1,0.0498,0.106,0.047,0.106,0.703,171.054
222,Love Is Strange - Remastered 2018,Wings,Wild Life,290453,3,1971-12-07,46,0.821,0.447,4,1,0.0488,0.00761,0.000371,0.166,0.841,121.912
223,Wild Life - Remastered 2018,Wings,Wild Life,400400,4,1971-12-07,48,0.596,0.43,10,1,0.0299,0.37,0.00119,0.1,0.269,129.602
224,Some People Never Know - Remastered 2018,Wings,Wild Life,397293,5,1971-12-07,36,0.416,0.392,9,1,0.0258,0.08,0.000139,0.122,0.332,175.347
225,I Am Your Singer - Remastered 2018,Wings,Wild Life,135320,6,1971-12-07,30,0.669,0.19,6,0,0.282,0.869,0.00962,0.13,0.563,117.472
226,Bip Bop Link - Remastered 2018,Wings,Wild Life,52280,7,1971-12-07,26,0.83,0.252,4,0,0.106,0.167,0.76,0.319,0.427,83.962
227,Tomorrow - Remastered 2018,Wings,Wild Life,204920,8,1971-12-07,39,0.345,0.369,2,1,0.0332,0.641,0.0,0.102,0.437,205.693
228,Dear Friend - Remastered 2018,Wings,Wild Life,349346,9,1971-12-07,38,0.471,0.143,0,0,0.0352,0.937,0.0221,0.081,0.159,77.48
229,Mumbo Link - Remastered 2018,Wings,Wild Life,46226,10,1971-12-07,24,0.441,0.256,5,1,0.0381,0.523,0.912,0.104,0.2,120.543
230,(Just Like) Starting Over - Remastered 2010,John Lennon,Double Fantasy,236546,1,1980-11-17,54,0.701,0.79,9,1,0.0725,0.301,6.06e-05,0.179,0.421,99.104
231,Kiss Kiss Kiss - Remastered 2010,Yoko Ono,Double Fantasy,161986,2,1980-11-17,35,0.756,0.805,0,1,0.149,0.171,0.00749,0.518,0.946,139.44
232,Cleanup Time - Remastered 2010,John Lennon,Double Fantasy,178586,3,1980-11-17,35,0.657,0.713,9,0,0.07,0.32,0.114,0.1,0.741,95.259
233,Give Me Something - Remastered 2010,Yoko Ono,Double Fantasy,94933,4,1980-11-17,30,0.596,0.94,9,0,0.203,0.432,0.0076,0.0687,0.434,151.051
234,I'm Losing You - Remastered 2010,John Lennon,Double Fantasy,237160,5,1980-11-17,39,0.686,0.701,9,0,0.0294,0.126,0.000267,0.625,0.542,97.716
235,I'm Moving On - Remastered 2010,Yoko Ono,Double Fantasy,141973,6,1980-11-17,30,0.73,0.748,9,0,0.0332,0.319,0.000174,0.352,0.629,95.898
236,Beautiful Boy (Darling Boy) - Remastered 2010,John Lennon,Double Fantasy,245693,7,1980-11-17,69,0.574,0.469,2,1,0.0403,0.733,1.96e-06,0.856,0.435,111.378
237,Watching The Wheels - Remastered 2010,John Lennon,Double Fantasy,239933,8,1980-11-17,48,0.607,0.612,0,1,0.0523,0.408,5.2e-06,0.32,0.272,82.933
238,"Yes, I'm Your Angel - Remastered 2010",Yoko Ono,Double Fantasy,189440,9,1980-11-17,32,0.616,0.326,11,1,0.119,0.852,1.96e-05,0.288,0.384,107.366
239,Woman - Remastered 2010,John Lennon,Double Fantasy,212933,10,1980-11-17,64,0.588,0.656,3,1,0.0224,0.378,0.00227,0.042,0.746,79.701
240,Beautiful Boys - Remastered 2010,Yoko Ono,Double Fantasy,175440,11,1980-11-17,30,0.396,0.299,4,0,0.0299,0.928,0.000748,0.126,0.353,142.565
241,Dear Yoko - Remastered 2010,John Lennon,Double Fantasy,154600,12,1980-11-17,34,0.736,0.653,9,1,0.0378,0.427,1.13e-05,0.447,0.886,99.38
242,Every Man Has A Woman Who Loves Him - Remastered 2010,Yoko Ono,Double Fantasy,243013,13,1980-11-17,32,0.81,0.668,4,0,0.0317,0.339,0.554,0.0917,0.952,122.121
243,Hard Times Are Over - Remastered 2010,Yoko Ono,Double Fantasy,199413,14,1980-11-17,29,0.286,0.608,11,1,0.0574,0.255,0.0,0.291,0.488,82.489
244,Be-Bop-A-Lula - Remastered 2010,John Lennon,Rock 'N' Roll,157346,1,1975-02-17,39,0.62,0.917,9,1,0.0473,0.152,0.000956,0.717,0.961,130.821
245,Stand By Me - Remastered 2010,John Lennon,Rock 'N' Roll,211666,2,1975-02-17,68,0.632,0.556,9,1,0.0288,0.29,0.0215,0.0779,0.633,104.996
246,Rip It Up / Ready Teddy - Remastered 2010,John Lennon,Rock 'N' Roll,94346,3,1975-02-17,32,0.442,0.725,9,1,0.279,0.483,2.19e-05,0.092,0.964,200.648
247,You Can't Catch Me - Remastered 2010,John Lennon,Rock 'N' Roll,293893,4,1975-02-17,32,0.289,0.915,9,1,0.0726,0.0706,0.195,0.42,0.632,169.006
248,Ain't That A Shame - Remastered 2010,John Lennon,Rock 'N' Roll,154146,5,1975-02-17,36,0.586,0.855,4,1,0.0414,0.32,0.0605,0.113,0.963,128.512
249,Do You Want To Dance - Remastered 2010,John Lennon,Rock 'N' Roll,173733,6,1975-02-17,28,0.479,0.646,7,1,0.0918,0.0877,0.802,0.445,0.969,167.65
250,Sweet Little Sixteen - Remastered 2010,John Lennon,Rock 'N' Roll,184280,7,1975-02-17,29,0.545,0.807,4,1,0.0431,0.0809,0.527,0.0697,0.962,113.822
251,Slippin' And Slidin' - Remastered 2010,John Lennon,Rock 'N' Roll,137666,8,1975-02-17,33,0.414,0.9,2,1,0.0572,0.19,8.91e-05,0.257,0.96,160.187
252,Peggy Sue - Remastered 2010,John Lennon,Rock 'N' Roll,125066,9,1975-02-17,29,0.46,0.81,9,1,0.0425,0.48,0.768,0.194,0.913,149.901
253,Bring It On Home To Me / Send Me Some Lovin' - Remastered 2010,John Lennon,Rock 'N' Roll,222240,10,1975-02-17,30,0.494,0.554,9,1,0.0312,0.154,0.00556,0.152,0.544,86.757
254,Bony Moronie - Remastered 2010,John Lennon,Rock 'N' Roll,230720,11,1975-02-17,27,0.644,0.902,2,1,0.0285,0.428,0.474,0.135,0.963,104.7
255,Ya Ya - Remastered 2010,John Lennon,Rock 'N' Roll,137986,12,1975-02-17,26,0.669,0.679,5,1,0.0491,0.112,0.00931,0.0916,0.976,160.639
256,Just Because - Remastered 2010,John Lennon,Rock 'N' Roll,270173,13,1975-02-17,30,0.197,0.567,4,1,0.0496,0.00275,0.296,0.0505,0.524,180.428
257,Going Down On Love - Remastered 2010,John Lennon,Walls And Bridges,237320,1,1974-09-26,34,0.613,0.394,4,1,0.038,0.494,0.0114,0.15,0.751,87.071
258,Whatever Gets You Thru The Night - Remastered 2010,John Lennon,Walls And Bridges,207306,2,1974-09-26,53,0.574,0.853,2,1,0.0763,0.531,0.581,0.543,0.755,126.313
259,Old Dirt Road - Remastered 2010,John Lennon,Walls And Bridges,253706,3,1974-09-26,41,0.348,0.386,0,1,0.0279,0.901,0.15,0.147,0.187,145.299
260,What You Got - Remastered 2010,John Lennon,Walls And Bridges,189400,4,1974-09-26,33,0.63,0.837,11,0,0.0367,0.276,0.0196,0.11,0.909,102.871
261,Bless You - Remastered 2010,John Lennon,Walls And Bridges,277160,5,1974-09-26,42,0.376,0.328,4,0,0.0468,0.824,0.0141,0.14,0.23,153.881
262,Scared - Remastered 2010,John Lennon,Walls And Bridges,281040,6,1974-09-26,29,0.372,0.503,9,0,0.0307,0.534,0.00204,0.106,0.225,82.673
263,#9 Dream - Remastered 2010,John Lennon,Walls And Bridges,286813,7,1974-09-26,54,0.406,0.597,0,1,0.0336,0.0744,0.0133,0.254,0.478,115.474
264,Surprise Surprise (Sweet Bird Of Paradox) - Remastered 2010,John Lennon,Walls And Bridges,177066,8,1974-09-26,30,0.538,0.624,9,0,0.0422,0.448,8.99e-05,0.0669,0.829,105.678
265,Steel And Glass - Remastered 2010,John Lennon,Walls And Bridges,279733,9,1974-09-26,40,0.238,0.567,7,1,0.0339,0.597,2.49e-05,0.0636,0.337,148.271
266,Beef Jerky - Remastered 2010,John Lennon,Walls And Bridges,211306,10,1974-09-26,27,0.443,0.634,9,1,0.079,0.0314,0.358,0.33,0.435,115.003
267,Nobody Loves You (When You're Down And Out) - Remastered 2010,John Lennon,Walls And Bridges,312973,11,1974-09-26,45,0.275,0.355,2,1,0.0308,0.827,0.316,0.0524,0.0778,114.823
268,Ya Ya - Remastered 2010,John Lennon,Walls And Bridges,69333,12,1974-09-26,26,0.766,0.306,0,1,0.108,0.833,1.91e-06,0.177,0.339,90.76
269,Mind Games - Remastered 2010,John Lennon,Mind Games,253266,1,1973-10-29,58,0.409,0.833,4,0,0.0397,0.292,0.158,0.161,0.428,132.233
270,Tight A$ - Remastered 2010,John Lennon,Mind Games,219373,2,1973-10-29,40,0.416,0.875,4,1,0.0345,0.0152,0.00122,0.708,0.964,176.087
271,Aisumasen (I'm Sorry) - Remastered 2010,John Lennon,Mind Games,284973,3,1973-10-29,33,0.514,0.358,4,1,0.0307,0.63,0.0174,0.109,0.106,128.076
272,One Day (At A Time) - Remastered 2010,John Lennon,Mind Games,190453,4,1973-10-29,35,0.423,0.385,8,1,0.0316,0.828,1.51e-05,0.218,0.274,90.142
273,Bring On The Lucie (Freda Peeple) - Remastered 2010,John Lennon,Mind Games,252333,5,1973-10-29,41,0.375,0.901,4,1,0.0497,0.157,0.105,0.0703,0.85,167.385
274,Nutopian International Anthem - Remastered 2010,John Lennon,Mind Games,4093,6,1973-10-29,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
275,Intuition - Remastered 2010,John Lennon,Mind Games,190906,7,1973-10-29,31,0.771,0.572,2,1,0.0682,0.218,0.0404,0.303,0.903,118.863
276,Out The Blue - Remastered 2010,John Lennon,Mind Games,202706,8,1973-10-29,46,0.508,0.544,7,1,0.0283,0.34,0.0717,0.0822,0.366,146.082
277,Only People - Remastered 2010,John Lennon,Mind Games,208706,9,1973-10-29,29,0.519,0.752,0,1,0.0288,0.53,0.000513,0.0791,0.882,132.25
278,I Know (I Know) - Remastered 2010,John Lennon,Mind Games,231133,10,1973-10-29,34,0.478,0.572,9,1,0.0256,0.192,0.00556,0.106,0.434,82.272
279,You Are Here - Remastered 2010,John Lennon,Mind Games,252680,11,1973-10-29,32,0.549,0.442,4,1,0.0234,0.223,0.0892,0.0736,0.545,93.864
280,Meat City - Remastered 2010,John Lennon,Mind Games,173173,12,1973-10-29,28,0.474,0.92,1,0,0.0567,0.11,1.4e-05,0.348,0.571,116.176
281,Woman Is The Nigger Of The World - Remastered 2010,John Lennon,Sometime In New York City,318746,1,1972-06-12,40,0.256,0.773,9,1,0.0539,0.237,0.0114,0.335,0.302,108.501
282,"Sisters, O Sisters - Remastered 2010",Yoko Ono,Sometime In New York City,229320,2,1972-06-12,24,0.371,0.87,0,1,0.0795,0.149,0.000933,0.294,0.602,154.679
283,Attica State - Remastered 2010,John Lennon,Sometime In New York City,176666,3,1972-06-12,23,0.519,0.812,9,1,0.0329,0.0626,0.236,0.237,0.752,136.862
284,Born In A Prison - Remastered 2010,Yoko Ono,Sometime In New York City,247080,4,1972-06-12,22,0.504,0.493,7,1,0.0409,0.783,2.17e-05,0.257,0.245,143.435
285,New York City - Remastered 2010,John Lennon,Sometime In New York City,274360,5,1972-06-12,31,0.496,0.929,9,1,0.0375,0.463,0.00197,0.216,0.941,142.344
286,Sunday Bloody Sunday - Remastered 2010,John Lennon,Sometime In New York City,303213,6,1972-06-12,29,0.375,0.838,4,1,0.0863,0.202,0.00202,0.418,0.819,178.408
287,The Luck Of The Irish - Remastered 2010,John Lennon,Sometime In New York City,179676,7,1972-06-12,36,0.449,0.468,7,1,0.0272,0.386,0.0,0.146,0.637,143.181
288,John Sinclair - Remastered 2010,John Lennon,Sometime In New York City,211173,8,1972-06-12,25,0.36,0.814,4,1,0.131,0.478,0.0297,0.548,0.72,176.092
289,Angela - Remastered 2010,John Lennon,Sometime In New York City,249106,9,1972-06-12,20,0.233,0.734,0,1,0.0558,0.0971,9.71e-05,0.191,0.463,76.737
290,We're All Water - Remastered 2010,Yoko Ono,Sometime In New York City,434106,10,1972-06-12,19,0.437,0.99,2,1,0.0722,0.0218,0.168,0.144,0.342,106.523
291,Cold Turkey - Live,John Lennon,Sometime In New York City,515400,1,1972-06-12,20,0.316,0.856,4,0,0.0876,0.426,0.487,0.264,0.235,115.399
292,Don't Worry Kyoko - Live,John Lennon,Sometime In New York City,966360,2,1972-06-12,14,0.146,0.82,4,1,0.0637,0.0171,0.842,0.818,0.171,178.461
293,Well (Baby Please Don't Go) - Live,John Lennon,Sometime In New York City,280853,3,1972-06-12,19,0.369,0.831,2,1,0.0888,0.531,6.91e-05,0.932,0.546,96.177
294,Jamrag - Live,John Lennon,Sometime In New York City,336053,4,1972-06-12,14,0.155,0.717,9,0,0.105,0.199,0.439,0.71,0.238,79.124
295,Scumbag - Live,John Lennon,Sometime In New York City,267306,5,1972-06-12,13,0.298,0.756,2,1,0.081,0.0879,0.0493,0.794,0.407,166.269
296,Au - Live,John Lennon,Sometime In New York City,490226,6,1972-06-12,11,0.164,0.828,2,1,0.101,0.899,0.0485,0.309,0.0375,79.656
297,Imagine - Remastered 2010,John Lennon,Imagine,187866,1,1971-09-09,79,0.547,0.257,0,1,0.0252,0.907,0.183,0.0935,0.169,75.752
298,Crippled Inside - Remastered 2010,John Lennon,Imagine,232626,2,1971-09-09,50,0.545,0.608,0,1,0.0369,0.193,0.0699,0.0769,0.681,165.617
299,Jealous Guy - Remastered 2010,John Lennon,Imagine,257786,3,1971-09-09,67,0.489,0.389,4,0,0.0284,0.877,0.32,0.105,0.254,131.366
300,It's So Hard - Remastered 2010,John Lennon,Imagine,149080,4,1971-09-09,44,0.754,0.391,2,1,0.0381,0.0137,0.612,0.244,0.942,82.372
301,I Don't Wanna Be A Soldier Mama - Remastered 2010,John Lennon,Imagine,368480,5,1971-09-09,43,0.305,0.834,4,0,0.0586,0.00629,4.19e-05,0.0743,0.521,162.706
302,Gimme Some Truth - Remastered 2010,John Lennon,Imagine,197813,6,1971-09-09,49,0.561,0.783,5,1,0.0366,0.106,0.0214,0.0812,0.768,133.518
303,Oh My Love - Remastered 2010,John Lennon,Imagine,168106,7,1971-09-09,57,0.529,0.104,9,1,0.0392,0.985,0.291,0.109,0.183,135.235
304,How Do You Sleep? - Remastered 2010,John Lennon,Imagine,339186,8,1971-09-09,50,0.585,0.517,9,0,0.0275,0.0494,0.0235,0.245,0.714,131.412
305,How? - Remastered 2010,John Lennon,Imagine,226280,9,1971-09-09,48,0.545,0.352,7,1,0.048,0.885,0.0625,0.198,0.206,74.163
306,Oh Yoko! - Remastered 2010,John Lennon,Imagine,260746,10,1971-09-09,53,0.587,0.842,1,1,0.0302,0.299,0.51,0.268,0.794,85.297
307,Mother - Remastered 2010,John Lennon,Plastic Ono Band,336306,1,1970-12-11,51,0.532,0.347,0,1,0.05,0.013,0.133,0.0578,0.426,135.935
308,Hold On - Remastered 2010,John Lennon,Plastic Ono Band,112040,2,1970-12-11,62,0.684,0.21,1,0,0.0841,0.538,0.031,0.143,0.681,83.383
309,I Found Out - Remastered 2010,John Lennon,Plastic Ono Band,218000,3,1970-12-11,41,0.576,0.672,7,1,0.48,0.0217,0.0451,0.127,0.507,181.116
310,Working Class Hero - Remastered 2010,John Lennon,Plastic Ono Band,227933,4,1970-12-11,60,0.484,0.165,7,1,0.0498,0.728,1.19e-06,0.115,0.193,159.174
311,Isolation - Remastered 2010,John Lennon,Plastic Ono Band,172253,5,1970-12-11,46,0.571,0.0788,2,1,0.0393,0.909,0.00921,0.0794,0.254,115.726
312,Remember - Remastered 2010,John Lennon,Plastic Ono Band,272960,6,1970-12-11,39,0.812,0.663,2,1,0.0334,0.0254,0.033,0.141,0.182,89.427
313,Love - Remastered 2010,John Lennon,Plastic Ono Band,202146,7,1970-12-11,53,0.613,0.0609,2,1,0.0391,0.887,0.0197,0.0525,0.156,80.988
314,Well Well Well - Remastered 2010,John Lennon,Plastic Ono Band,357413,8,1970-12-11,40,0.469,0.689,4,1,0.0577,0.0126,0.0924,0.131,0.527,156.18
315,Look At Me - Remastered 2010,John Lennon,Plastic Ono Band,173653,9,1970-12-11,45,0.484,0.0628,6,0,0.0298,0.859,1.42e-05,0.109,0.347,148.063
316,God - Remastered 2010,John Lennon,Plastic Ono Band,252773,10,1970-12-11,49,0.64,0.269,4,0,0.0388,0.231,0.00276,0.116,0.178,112.801
317,My Mummy's Dead - Remastered 2010,John Lennon,Plastic Ono Band,51800,11,1970-12-11,35,0.599,0.0955,9,1,0.0294,0.995,0.00029,0.0693,0.532,90.769
318,Cloud Nine - Remastered 2004,George Harrison,Cloud Nine,196626,1,1987-11-02,40,0.641,0.619,3,1,0.0369,0.672,0.0215,0.257,0.737,94.05
319,That's What It Takes - Remastered 2004,George Harrison,Cloud Nine,241266,2,1987-11-02,34,0.605,0.65,9,0,0.0265,0.479,7.71e-06,0.113,0.581,97.985
320,Fish On The Sand - Remastered 2004,George Harrison,Cloud Nine,204306,3,1987-11-02,39,0.665,0.742,0,0,0.0716,0.253,0.00384,0.295,0.826,125.088
