,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
38,Back In The Sunshine Again,Paul McCartney,Driving Rain,261000,12,2001-11-12,18,0.488,0.694,9,0,0.0251,0.322,0.0854,0.261,0.602,77.414
39,Your Loving Flame,Paul McCartney,Driving Rain,223506,13,2001-11-12,21,0.579,0.471,8,1,0.0268,0.513,2.03e-05,0.114,0.156,122.119
40,Riding Into Jaipur,Paul McCartney,Driving Rain,247826,14,2001-11-12,17,0.376,0.461,2,1,0.0295,0.335,0.423,0.0943,0.209,87.182
41,Rinse The Raindrops,Paul McCartney,Driving Rain,608266,15,2001-11-12,20,0.399,0.779,2,0,0.0551,0.04,8.18e-05,0.108,0.507,139.995
42,Freedom - Studio Mix,Paul McCartney,Driving Rain,213893,16,2001-11-12,25,0.43,0.86,7,1,0.0375,0.0895,0.0,0.413,0.824,104.767
43,Bluejean Bop,Paul McCartney,Run Devil Run,117226,1,1999-10-05,20,0.596,0.56,9,1,0.039,0.00483,0.00019,0.227,0.756,94.925
44,She Said Yeah,Paul McCartney,Run Devil Run,126640,2,1999-10-05,19,0.482,0.881,4,1,0.0414,0.000868,0.0773,0.142,0.863,90.91
45,All Shook Up,Paul McCartney,Run Devil Run,125733,3,1999-10-05,40,0.418,0.859,4,1,0.105,0.0103,0.0117,0.23,0.853,171.361
46,Run Devil Run,Paul McCartney,Run Devil Run,156400,4,1999-10-05,24,0.469,0.935,11,0,0.0559,4.81e-05,0.0277,0.302,0.666,87.584
47,No Other Baby,Paul McCartney,Run Devil Run,257893,5,1999-10-05,32,0.65,0.456,4,1,0.0244,0.0425,0.034,0.11,0.358,101.25
48,Lonesome Town,Paul McCartney,Run Devil Run,210306,6,1999-10-05,30,0.61,0.416,0,1,0.0298,0.124,0.0425,0.159,0.228,107.593
49,Try Not To Cry,Paul McCartney,Run Devil Run,160800,7,1999-10-05,17,0.466,0.837,2,1,0.0461,0.0243,0.00107,0.336,0.605,127.939
50,Movie Magg,Paul McCartney,Run Devil Run,132293,8,1999-10-05,18,0.906,0.486,9,1,0.0755,0.509,0.00105,0.0922,0.96,111.714
51,Brown Eyed Handsome Man,Paul McCartney,Run Devil Run,147200,9,1999-10-05,21,0.478,0.881,7,1,0.0337,0.00238,0.939,0.387,0.912,88.103
52,What It Is,Paul McCartney,Run Devil Run,143066,10,1999-10-05,17,0.434,0.814,7,1,0.0344,0.000683,0.00341,0.425,0.596,125.707
53,Coquette,Paul McCartney,Run Devil Run,162906,11,1999-10-05,16,0.537,0.74,7,1,0.0276,0.0366,0.702,0.268,0.794,134.341
54,I Got Stung,Paul McCartney,Run Devil Run,160426,12,1999-10-05,16,0.3,0.957,9,1,0.0628,0.00522,0.528,0.258,0.854,181.677
55,Honey Hush,Paul McCartney,Run Devil Run,155800,13,1999-10-05,18,0.216,0.899,9,1,0.0462,0.000214,0.636,0.336,0.87,178.786
56,Shake A Hand,Paul McCartney,Run Devil Run,232266,14,1999-10-05,19,0.332,0.833,7,1,0.0411,0.00338,0.547,0.371,0.63,129.255
57,Party,Paul McCartney,Run Devil Run,157840,15,1999-10-05,18,0.236,0.774,4,1,0.0442,0.00175,0.65,0.304,0.513,85.446
58,My Brave Face - Remastered 2017,Paul McCartney,Flowers In The Dirt,200693,1,1989-06-05,0,0.738,0.534,4,1,0.0288,0.272,1.25e-05,0.116,0.664,123.332
59,Rough Ride - Remastered 2017,Paul McCartney,Flowers In The Dirt,285200,2,1989-06-05,0,0.683,0.509,11,0,0.0452,0.16,0.0486,0.0358,0.614,170.209
60,You Want Her Too - Remastered 2017,Paul McCartney,Flowers In The Dirt,194960,3,1989-06-05,0,0.428,0.545,0,1,0.0377,0.453,1.19e-06,0.317,0.375,154.404
61,Distractions - Remastered 2017,Paul McCartney,Flowers In The Dirt,282693,4,1989-06-05,0,0.579,0.327,7,0,0.027,0.362,0.00203,0.16,0.478,87.944
62,We Got Married - Remastered 2017,Paul McCartney,Flowers In The Dirt,298600,5,1989-06-05,0,0.349,0.633,4,0,0.0343,0.253,0.00471,0.178,0.431,78.786
63,Put It There - Remastered 2017,Paul McCartney,Flowers In The Dirt,132306,6,1989-06-05,0,0.548,0.349,2,1,0.028,0.0207,0.0,0.0646,0.762,179.981
64,Figure Of Eight - Remastered 2017,Paul McCartney,Flowers In The Dirt,207200,7,1989-06-05,0,0.723,0.595,4,1,0.0301,0.158,0.000476,0.117,0.564,114.106
65,This One - Remastered 2017,Paul McCartney,Flowers In The Dirt,252013,8,1989-06-05,0,0.663,0.612,9,1,0.0287,0.0923,0.0,0.162,0.437,106.08
66,Don't Be Careless Love - Remastered 2017,Paul McCartney,Flowers In The Dirt,201400,9,1989-06-05,0,0.601,0.291,2,1,0.027,0.717,0.0,0.217,0.346,94.727
67,That Day Is Done - Remastered 2017,Paul McCartney,Flowers In The Dirt,262426,10,1989-06-05,0,0.336,0.358,0,1,0.0309,0.389,1.41e-06,0.517,0.323,114.415
68,How Many People - Remastered 2017,Paul McCartney,Flowers In The Dirt,256413,11,1989-06-05,0,0.717,0.415,7,1,0.0282,0.113,0.00997,0.0658,0.59,129.971
69,Motor Of Love - Remastered 2017,Paul McCartney,Flowers In The Dirt,387533,12,1989-06-05,0,0.233,0.378,2,1,0.0276,0.498,1.99e-06,0.237,0.199,91.946
70,Où Est Le Soleil? - Remastered 2017,Paul McCartney,Flowers In The Dirt,286626,13,1989-06-05,0,0.757,0.679,9,1,0.0309,0.174,0.637,0.0887,0.351,119.977
71,Stranglehold - 1993 Digital Remaster,Paul McCartney,Press To Play,217600,1,1986-10-22,21,0.51,0.626,11,0,0.056,0.285,0.000264,0.378,0.679,123.808
72,Good Times Coming/Feel The Sun - 1993 Digital Remaster,Paul McCartney,Press To Play,295400,2,1986-10-22,21,0.565,0.551,9,1,0.0843,0.0798,0.00218,0.35,0.805,114.165
73,Talk More Talk - 1993 Digital Remaster,Paul McCartney,Press To Play,317360,3,1986-10-22,18,0.72,0.68,7,0,0.0521,0.101,0.00215,0.11,0.413,116.044
74,Footprints - 1993 Digital Remaster,Paul McCartney,Press To Play,271866,4,1986-10-22,19,0.587,0.343,4,0,0.0319,0.103,0.00111,0.0905,0.848,180.121
75,Only Love Remains - 1993 Digital Remaster,Paul McCartney,Press To Play,252800,5,1986-10-22,25,0.32,0.233,0,1,0.0288,0.577,0.0,0.201,0.198,157.897
76,Press - 1993 Digital Remaster,Paul McCartney,Press To Play,283093,6,1986-10-22,25,0.676,0.808,0,1,0.034,0.0309,0.00229,0.148,0.866,113.061
77,Pretty Little Head - 1993 Digital Remaster,Paul McCartney,Press To Play,313426,7,1986-10-22,19,0.644,0.612,8,1,0.0456,0.0359,0.524,0.129,0.686,101.652
78,Move Over Busker - 1993 Digital Remaster,Paul McCartney,Press To Play,245466,8,1986-10-22,16,0.658,0.937,2,1,0.0339,0.0313,0.00024,0.0752,0.811,125.04
79,Angry - 1993 Digital Remaster,Paul McCartney,Press To Play,216133,9,1986-10-22,17,0.502,0.888,11,0,0.0389,0.00505,0.000668,0.133,0.82,168.19
80,However Absurd - 1993 Digital Remaster,Paul McCartney,Press To Play,300826,10,1986-10-22,16,0.544,0.512,5,1,0.0327,0.13,0.00167,0.0957,0.519,142.099
81,Pipes Of Peace - Remastered 2015,Paul McCartney,Pipes Of Peace,235840,1,1983-10-28,38,0.369,0.413,9,0,0.0339,0.167,0.0,0.116,0.406,94.287
82,Say Say Say - Remastered 2015,Paul McCartney,Pipes Of Peace,235693,2,1983-10-28,64,0.822,0.686,10,0,0.0472,0.115,0.000982,0.0463,0.828,117.743
83,The Other Me - Remastered 2015,Paul McCartney,Pipes Of Peace,238120,3,1983-10-28,30,0.693,0.364,2,1,0.0293,0.0725,0.0,0.358,0.899,100.958
84,Keep Under Cover - Remastered 2015,Paul McCartney,Pipes Of Peace,186906,4,1983-10-28,28,0.629,0.635,4,0,0.041,0.137,5.02e-06,0.28,0.764,132.94
85,So Bad - Remastered 2015,Paul McCartney,Pipes Of Peace,202053,5,1983-10-28,35,0.675,0.306,7,1,0.0269,0.404,3.69e-06,0.125,0.564,87.945
