,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
270,Salt Lake City (Stereo),The Beach Boys,Summer Days (And Summer Nights) [Mono & Stereo],123760,16,1965-07-05,12,0.487,0.732,3,0.68,1,0.0354,0.0268,7.75e-06,0.142,0.719,137.646
271,Girl Don't Tell Me (Stereo),The Beach Boys,Summer Days (And Summer Nights) [Mono & Stereo],142040,17,1965-07-05,14,0.666,0.518,9,0.728,1,0.0309,0.374,0.0,0.0784,0.742,124.65
272,"Help Me, Rhonda (Stereo)",The Beach Boys,Summer Days (And Summer Nights) [Mono & Stereo],168146,18,1965-07-05,19,0.535,0.631,1,0.795,1,0.0319,0.131,0.0,0.196,0.799,139.805
273,California Girls (Stereo),The Beach Boys,Summer Days (And Summer Nights) [Mono & Stereo],167600,19,1965-07-05,27,0.424,0.773,11,0.426,1,0.0377,0.183,1.09e-06,0.1,0.811,115.613
274,Let Him Run Wild (Stereo),The Beach Boys,Summer Days (And Summer Nights) [Mono & Stereo],142360,20,1965-07-05,17,0.483,0.53,11,0.794,1,0.0311,0.534,0.0,0.084,0.745,117.599
275,You're So Good to Me (Stereo),The Beach Boys,Summer Days (And Summer Nights) [Mono & Stereo],136360,21,1965-07-05,24,0.65,0.695,5,0.453,1,0.031,0.411,0.0,0.122,0.969,118.618
276,Summer Means New Love (Stereo),The Beach Boys,Summer Days (And Summer Nights) [Mono & Stereo],123186,22,1965-07-05,14,0.674,0.357,7,0.534,1,0.0298,0.692,0.828,0.103,0.435,103.908
277,I'm Bugged At My Ol' Man (Stereo),The Beach Boys,Summer Days (And Summer Nights) [Mono & Stereo],142373,23,1965-07-05,9,0.566,0.366,2,0.902,1,0.0442,0.936,3.86e-06,0.176,0.696,120.903
278,And Your Dream Comes True (Stereo),The Beach Boys,Summer Days (And Summer Nights) [Mono & Stereo],65186,24,1965-07-05,12,0.279,0.0827,6,0.559,1,0.0356,0.846,0.0,0.369,0.22,114.93
279,Do You Wanna Dance? - Remastered,The Beach Boys,The Beach Boys Today! (Remastered),141400,1,1965-03-08,29,0.424,0.828,10,0.877,1,0.0522,0.695,1.07e-05,0.36,0.71,147.568
280,Good To My Baby - Remastered,The Beach Boys,The Beach Boys Today! (Remastered),138373,2,1965-03-08,24,0.536,0.814,4,0.085,0,0.0277,0.526,1.81e-05,0.0724,0.964,136.525
281,Don't Hurt My Little Sister - Remastered,The Beach Boys,The Beach Boys Today! (Remastered),129226,3,1965-03-08,23,0.63,0.753,10,0.468,1,0.0305,0.772,0.000223,0.226,0.904,141.216
282,When I Grow Up (To Be A Man) - Remastered,The Beach Boys,The Beach Boys Today! (Remastered),124040,4,1965-03-08,27,0.396,0.768,8,0.611,1,0.0512,0.613,0.0,0.349,0.636,148.261
283,"Help Me, Rhonda - Remastered",The Beach Boys,The Beach Boys Today! (Remastered),190360,5,1965-03-08,32,0.569,0.764,1,0.781,1,0.0275,0.122,0.000155,0.07,0.847,136.345
284,"Dance, Dance, Dance - Remastered",The Beach Boys,The Beach Boys Today! (Remastered),121466,6,1965-03-08,32,0.529,0.908,8,0.419,1,0.0349,0.069,4.19e-06,0.0624,0.936,149.294
285,Please Let Me Wonder - Remastered,The Beach Boys,The Beach Boys Today! (Remastered),167266,7,1965-03-08,35,0.54,0.49,10,0.0,1,0.0305,0.777,0.208,0.104,0.488,116.968
286,I'm So Young - Remastered,The Beach Boys,The Beach Boys Today! (Remastered),152706,8,1965-03-08,26,0.362,0.375,3,0.81,1,0.0285,0.835,3.2e-05,0.124,0.437,105.165
287,"Kiss Me, Baby - Remastered",The Beach Boys,The Beach Boys Today! (Remastered),157400,9,1965-03-08,27,0.51,0.507,3,0.772,1,0.0251,0.778,0.000102,0.12,0.522,108.957
288,She Knows Me Too Well - Remastered,The Beach Boys,The Beach Boys Today! (Remastered),150026,10,1965-03-08,28,0.485,0.6,4,0.195,1,0.0341,0.734,0.0,0.109,0.364,119.086
289,In The Back Of My Mind - Remastered,The Beach Boys,The Beach Boys Today! (Remastered),129373,11,1965-03-08,24,0.268,0.327,5,0.527,1,0.0303,0.355,0.0,0.116,0.426,104.244
290,"Bull Session With ""Big Daddy"" - Remastered",The Beach Boys,The Beach Boys Today! (Remastered),133560,12,1965-03-08,17,0.626,0.268,7,0.517,0,0.56,0.835,0.0,0.163,0.627,99.437
291,Little Saint Nick - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,118840,1,1964-11-09,50,0.602,0.553,11,0.0,1,0.0328,0.108,0.0,0.0512,0.971,130.594
292,The Man With All The Toys - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,91186,2,1964-11-09,32,0.708,0.492,6,0.663,1,0.0365,0.442,9.88e-06,0.0624,0.662,138.347
293,Santa's Beard - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,119240,3,1964-11-09,23,0.694,0.541,8,0.49,1,0.0302,0.489,0.0,0.102,0.952,130.401
294,"Merry Christmas, Baby - 1991 Remix",The Beach Boys,The Beach Boys' Christmas Album,146093,4,1964-11-09,24,0.696,0.494,9,0.558,1,0.0581,0.307,0.0,0.0865,0.815,127.396
295,Christmas Day - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,111213,5,1964-11-09,20,0.649,0.419,5,0.408,1,0.0286,0.378,0.000356,0.0558,0.894,123.247
296,Frosty The Snowman - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,114280,6,1964-11-09,32,0.413,0.473,5,0.62,1,0.0316,0.72,0.0,0.0418,0.966,182.027
297,We Three Kings Of Orient Are - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,244613,7,1964-11-09,35,0.218,0.176,10,0.451,1,0.033,0.622,9.31e-06,0.123,0.202,116.829
298,Blue Christmas - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,190106,8,1964-11-09,17,0.211,0.189,10,0.454,1,0.03,0.753,9.31e-06,0.114,0.227,82.909
299,Santa Claus Is Comin' To Town - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,140016,9,1964-11-09,21,0.452,0.305,10,0.116,1,0.0411,0.692,0.0,0.116,0.508,131.594
300,White Christmas - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,149560,10,1964-11-09,17,0.258,0.212,7,0.518,1,0.0302,0.838,2.85e-05,0.329,0.163,87.733
301,I'll Be Home For Christmas - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,163346,11,1964-11-09,18,0.189,0.218,3,0.716,1,0.0304,0.681,2.42e-05,0.175,0.144,85.663
302,Auld Lang Syne - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,80120,12,1964-11-09,18,0.425,0.123,1,0.132,1,0.0681,0.722,0.0,0.171,0.337,57.178
303,I Get Around (Mono),The Beach Boys,All Summer Long (Mono & Stereo),134386,1,1964-07-13,67,0.39,0.625,9,0.28,0,0.0537,0.36,0.0,0.0663,0.514,144.338
304,All Summer Long (Mono),The Beach Boys,All Summer Long (Mono & Stereo),128986,2,1964-07-13,40,0.568,0.688,11,0.673,1,0.0542,0.115,0.000261,0.203,0.836,136.853
305,Hushabye (Mono),The Beach Boys,All Summer Long (Mono & Stereo),161346,3,1964-07-13,24,0.388,0.417,4,0.588,1,0.0306,0.374,0.544,0.169,0.317,122.814
306,Little Honda (Mono),The Beach Boys,All Summer Long (Mono & Stereo),112520,4,1964-07-13,27,0.406,0.597,1,0.969,1,0.0301,0.0806,8.14e-05,0.173,0.884,150.26
307,We'll Run Away (Mono),The Beach Boys,All Summer Long (Mono & Stereo),122746,5,1964-07-13,24,0.537,0.36,1,0.66,1,0.0266,0.25,0.0,0.0703,0.559,100.436
308,Carl's Big Chance (Mono),The Beach Boys,All Summer Long (Mono & Stereo),123158,6,1964-07-13,21,0.837,0.602,11,0.108,1,0.129,0.142,0.933,0.0697,0.27,90.377
309,Wendy (Mono),The Beach Boys,All Summer Long (Mono & Stereo),141813,7,1964-07-13,27,0.471,0.363,5,0.367,1,0.0348,0.0331,0.0,0.11,0.375,137.319
310,Do You Remember (Mono),The Beach Boys,All Summer Long (Mono & Stereo),100213,8,1964-07-13,24,0.522,0.827,0,0.647,1,0.0815,0.827,0.0,0.155,0.83,158.473
311,Girls On the Beach (Mono),The Beach Boys,All Summer Long (Mono & Stereo),148946,9,1964-07-13,24,0.41,0.39,10,0.241,1,0.0272,0.56,0.0,0.0882,0.437,104.072
312,Drive-In (Mono),The Beach Boys,All Summer Long (Mono & Stereo),109505,10,1964-07-13,20,0.59,0.835,5,0.497,1,0.0449,0.636,0.0,0.305,0.96,150.527
313,Our Favorite Recording Sessions (Mono),The Beach Boys,All Summer Long (Mono & Stereo),120133,11,1964-07-13,17,0.528,0.238,11,0.386,1,0.907,0.718,0.0,0.348,0.405,65.285
314,Don't Back Down (Mono),The Beach Boys,All Summer Long (Mono & Stereo),112400,12,1964-07-13,21,0.564,0.536,9,0.639,1,0.0314,0.157,0.00309,0.0632,0.963,143.166
315,I Get Around (Stereo) - Remastered,The Beach Boys,All Summer Long (Mono & Stereo),134266,13,1964-07-13,43,0.398,0.513,9,0.544,0,0.0371,0.29,0.0,0.0639,0.902,146.099
316,All Summer Long (Stereo),The Beach Boys,All Summer Long (Mono & Stereo),128973,14,1964-07-13,38,0.551,0.638,11,0.722,1,0.0527,0.327,1.39e-05,0.56,0.866,136.097
317,Hushabye (Stereo),The Beach Boys,All Summer Long (Mono & Stereo),162293,15,1964-07-13,25,0.422,0.389,4,0.546,1,0.0322,0.599,0.133,0.164,0.332,122.851
318,Little Honda (Stereo),The Beach Boys,All Summer Long (Mono & Stereo),114333,16,1964-07-13,35,0.429,0.556,1,1.0,1,0.032,0.203,0.0,0.126,0.766,151.1
319,We'll Run Away (Stereo),The Beach Boys,All Summer Long (Mono & Stereo),122533,17,1964-07-13,22,0.472,0.307,1,0.691,1,0.0253,0.549,0.0,0.118,0.626,99.277
320,Carl's Big Chance (Stereo),The Beach Boys,All Summer Long (Mono & Stereo),147613,18,1964-07-13,19,0.81,0.539,11,0.038,1,0.0314,0.189,0.808,0.0718,0.714,89.789
321,Wendy (Stereo),The Beach Boys,All Summer Long (Mono & Stereo),138893,19,1964-07-13,23,0.479,0.484,5,0.302,1,0.0394,0.159,0.0,0.127,0.491,136.946
322,Do You Remember (Stereo),The Beach Boys,All Summer Long (Mono & Stereo),100160,20,1964-07-13,22,0.601,0.729,0,0.59,1,0.0395,0.42,1.45e-06,0.165,0.972,79.52
323,Girls On the Beach (Stereo),The Beach Boys,All Summer Long (Mono & Stereo),146546,21,1964-07-13,26,0.428,0.4,9,0.0,1,0.0274,0.692,0.0,0.172,0.522,105.2
324,Drive-In (Stereo),The Beach Boys,All Summer Long (Mono & Stereo),111240,22,1964-07-13,22,0.533,0.806,5,0.567,1,0.0472,0.58,0.0,0.295,0.959,150.777
325,Our Favorite Recording Sessions (Mono),The Beach Boys,All Summer Long (Mono & Stereo),119960,23,1964-07-13,14,0.593,0.267,11,0.296,1,0.792,0.619,0.0,0.362,0.512,66.558
326,Don't Back Down (Stereo),The Beach Boys,All Summer Long (Mono & Stereo),103626,24,1964-07-13,20,0.618,0.467,9,0.478,1,0.0315,0.0788,0.000464,0.0897,0.969,143.936
327,"Fun, Fun, Fun - Remastered 2001",The Beach Boys,"Shut Down, Vol. 2 (Remastered)",125400,1,1964-03-02,43,0.505,0.858,3,0.812,1,0.0352,0.293,0.0,0.11,0.973,156.044
328,Don't Worry Baby - Remastered 2001,The Beach Boys,"Shut Down, Vol. 2 (Remastered)",169933,2,1964-03-02,64,0.487,0.464,4,0.688,1,0.03,0.0666,0.00531,0.105,0.851,121.242
329,In The Parkin' Lot - Remastered 2001,The Beach Boys,"Shut Down, Vol. 2 (Remastered)",123600,3,1964-03-02,24,0.351,0.579,6,0.525,1,0.033,0.571,7.95e-05,0.216,0.929,154.742
330,"""Cassius"" Love Vs. ""Sonny"" Wilson - Remastered 2001",The Beach Boys,"Shut Down, Vol. 2 (Remastered)",211560,4,1964-03-02,19,0.555,0.3,10,0.392,0,0.25,0.596,0.0,0.661,0.487,149.984
331,The Warmth Of The Sun - Remastered,The Beach Boys,"Shut Down, Vol. 2 (Remastered)",173933,5,1964-03-02,35,0.257,0.385,9,0.227,0,0.0297,0.686,0.000829,0.127,0.39,203.726
332,This Car Of Mine - Remastered 2001,The Beach Boys,"Shut Down, Vol. 2 (Remastered)",97400,6,1964-03-02,23,0.615,0.586,11,0.509,1,0.0304,0.643,6.53e-06,0.0951,0.968,132.234
333,Why Do Fools Fall In Love - Remastered 2001,The Beach Boys,"Shut Down, Vol. 2 (Remastered)",129466,7,1964-03-02,26,0.4,0.766,5,0.559,1,0.0433,0.557,4.29e-06,0.101,0.764,82.708
334,Pom Pom Play Girl - Remastered 2001,The Beach Boys,"Shut Down, Vol. 2 (Remastered)",92733,8,1964-03-02,20,0.516,0.797,8,0.094,1,0.0331,0.216,0.000168,0.0515,0.968,152.007
335,Keep An Eye On Summer - Remastered 2001,The Beach Boys,"Shut Down, Vol. 2 (Remastered)",143733,9,1964-03-02,25,0.395,0.42,6,0.52,1,0.0255,0.198,0.00102,0.123,0.392,72.437
336,"Shut Down, Part II - Remastered 2001",The Beach Boys,"Shut Down, Vol. 2 (Remastered)",129506,10,1964-03-02,20,0.672,0.736,9,0.835,1,0.0385,0.0379,0.675,0.356,0.967,158.604
337,Louie Louie - Remastered 2001,The Beach Boys,"Shut Down, Vol. 2 (Remastered)",139866,11,1964-03-02,24,0.779,0.565,9,0.583,1,0.041,0.0655,0.036,0.103,0.798,127.449
338,Denny's Drums - Remastered,The Beach Boys,"Shut Down, Vol. 2 (Remastered)",119426,12,1964-03-02,18,0.548,0.934,7,0.565,1,0.0406,0.00204,0.641,0.124,0.689,121.336
339,Little Deuce Coupe - Remastered,The Beach Boys,Little Deuce Coupe (Remastered),101000,1,1963-10-07,30,0.67,0.688,8,0.677,1,0.035,0.679,6.72e-05,0.128,0.977,133.833
340,Ballad Of Ole' Betsy - Remastered 2001,The Beach Boys,Little Deuce Coupe (Remastered),137440,2,1963-10-07,18,0.509,0.297,8,0.389,1,0.0273,0.655,0.0,0.079,0.548,100.223
341,Be True To Your School,The Beach Boys,Little Deuce Coupe (Remastered),128693,3,1963-10-07,37,0.528,0.722,10,0.291,1,0.0344,0.501,6.02e-06,0.0705,0.86,138.648
342,Car Crazy Cutie - Remastered 2001,The Beach Boys,Little Deuce Coupe (Remastered),169200,4,1963-10-07,20,0.563,0.735,4,0.297,1,0.0515,0.367,0.0,0.12,0.937,128.673
343,"Cherry, Cherry Coupe - Remastered 2001",The Beach Boys,Little Deuce Coupe (Remastered),110306,5,1963-10-07,20,0.672,0.837,2,0.563,1,0.0294,0.583,0.0,0.0866,0.965,133.963
344,409,The Beach Boys,Little Deuce Coupe (Remastered),121400,6,1963-10-07,21,0.473,0.693,7,0.694,1,0.0305,0.76,0.0,0.203,0.853,159.406
345,Shut Down - Remastered 2001,The Beach Boys,Little Deuce Coupe (Remastered),110960,7,1963-10-07,18,0.597,0.819,8,0.76,1,0.0399,0.388,1.53e-05,0.055,0.977,159.914
346,Spirit Of America - Remastered 2001,The Beach Boys,Little Deuce Coupe (Remastered),146106,8,1963-10-07,17,0.29,0.48,0,0.403,0,0.0302,0.207,0.0,0.229,0.663,206.074
347,Our Car Club - Remastered 2001,The Beach Boys,Little Deuce Coupe (Remastered),143933,9,1963-10-07,15,0.735,0.813,10,0.958,1,0.0335,0.732,0.0108,0.0527,0.968,127.093
348,No-Go Showboat - Remastered 2001,The Beach Boys,Little Deuce Coupe (Remastered),116293,10,1963-10-07,14,0.591,0.737,6,0.672,1,0.0345,0.771,0.0,0.298,0.924,143.847
349,A Young Man Is Gone - Remastered 2001,The Beach Boys,Little Deuce Coupe (Remastered),138866,11,1963-10-07,13,0.295,0.217,8,0.581,1,0.0313,0.846,0.0,0.259,0.196,80.221
350,Custom Machine - Remastered 2001,The Beach Boys,Little Deuce Coupe (Remastered),102066,12,1963-10-07,17,0.492,0.883,10,0.196,0,0.0763,0.147,0.22,0.156,0.527,150.753
351,Surfer Girl - Remastered 2001,The Beach Boys,Surfer Girl (Remastered),148533,1,1963-09-16,51,0.522,0.37,2,0.581,1,0.0253,0.651,0.0,0.142,0.653,105.826
352,Catch A Wave - Stereo/Remastered 2001,The Beach Boys,Surfer Girl (Remastered),130199,2,1963-09-16,33,0.644,0.713,2,0.895,1,0.0342,0.469,3.75e-06,0.0479,0.966,139.118
353,The Surfer Moon - Remastered 2001,The Beach Boys,Surfer Girl (Remastered),134306,3,1963-09-16,26,0.272,0.338,6,0.753,1,0.034,0.828,0.0,0.14,0.472,87.501
354,South Bay Surfer - Remastered 2001,The Beach Boys,Surfer Girl (Remastered),108251,4,1963-09-16,16,0.672,0.677,4,0.744,1,0.0461,0.621,1.18e-06,0.0399,0.936,62.308
355,Rocking Surfer - Remastered 2001,The Beach Boys,Surfer Girl (Remastered),122773,5,1963-09-16,16,0.462,0.848,8,0.624,1,0.0313,0.134,0.771,0.389,0.971,152.614
356,Little Deuce Coupe - Remastered,The Beach Boys,Surfer Girl (Remastered),100933,6,1963-09-16,49,0.665,0.701,8,0.705,1,0.0329,0.622,6.48e-05,0.141,0.977,133.853
357,In My Room - Remastered,The Beach Boys,Surfer Girl (Remastered),134133,7,1963-09-16,51,0.341,0.416,11,0.0,1,0.0265,0.184,6.28e-05,0.0917,0.499,102.886
358,Hawaii - Remastered 2001,The Beach Boys,Surfer Girl (Remastered),122000,8,1963-09-16,34,0.516,0.697,8,0.554,1,0.0373,0.388,0.0,0.176,0.964,144.09
359,Surfers Rule - Remastered 2001,The Beach Boys,Surfer Girl (Remastered),116333,9,1963-09-16,18,0.578,0.717,9,0.688,1,0.0302,0.425,7.53e-05,0.0681,0.963,142.28
360,Our Car Club - Remastered 2001,The Beach Boys,Surfer Girl (Remastered),144800,10,1963-09-16,17,0.739,0.81,10,0.97,1,0.0343,0.738,0.0172,0.0569,0.967,127.071
361,Your Summer Dream - Remastered 2001,The Beach Boys,Surfer Girl (Remastered),149426,11,1963-09-16,30,0.575,0.356,9,0.385,1,0.0286,0.375,8.62e-05,0.077,0.649,95.672
362,Boogie Woodie - Remastered 2001,The Beach Boys,Surfer Girl (Remastered),120373,12,1963-09-16,14,0.551,0.987,8,0.689,1,0.0664,0.695,0.753,0.482,0.419,95.185
363,Surfin' U.S.A. - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),149373,1,1963-03-25,72,0.55,0.854,3,0.709,1,0.036,0.661,0.0,0.112,0.965,159.231
364,Farmer's Daughter - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),111466,2,1963-03-25,27,0.504,0.495,5,0.721,1,0.0321,0.643,3.26e-05,0.0665,0.938,145.943
365,Misirlou - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),126266,3,1963-03-25,35,0.386,0.786,5,1.0,1,0.0423,0.0151,0.82,0.472,0.573,167.94
366,Stoked - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),121360,4,1963-03-25,36,0.655,0.85,5,0.424,1,0.0465,0.0638,0.873,0.111,0.892,138.853
367,Lonely Sea - Stereo/Remastered 2001,The Beach Boys,Surfin' USA (Remastered),143840,5,1963-03-25,26,0.127,0.113,1,0.431,1,0.0309,0.75,4.99e-06,0.105,0.0994,199.248
368,Shut Down - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),111200,6,1963-03-25,27,0.593,0.824,8,0.717,1,0.0436,0.331,1.87e-05,0.0535,0.98,159.921
369,Noble Surfer - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),113826,7,1963-03-25,20,0.68,0.86,0,0.702,1,0.0499,0.626,2.39e-05,0.302,0.962,160.275
370,Honky Tonk - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),124266,8,1963-03-25,20,0.677,0.796,9,0.525,1,0.0521,0.104,0.819,0.0896,0.885,126.591
371,Lana - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),101800,9,1963-03-25,19,0.623,0.64,3,0.468,1,0.0301,0.779,2.48e-05,0.101,0.961,140.667
372,Surf Jam - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),132911,10,1963-03-25,30,0.453,0.959,5,0.363,0,0.06,0.239,0.544,0.0962,0.849,176.808
373,Let's Go Trippin' - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),119866,11,1963-03-25,30,0.554,0.915,9,0.34,0,0.0515,0.171,0.806,0.322,0.851,164.022
374,Finders Keepers - Remastered 2001,The Beach Boys,Surfin' USA (Remastered),102200,12,1963-03-25,21,0.493,0.702,9,0.508,1,0.0518,0.803,0.0,0.219,0.808,145.959
375,20th Century Man,The Kinks,Muswell Hillbillies,358506,1,1971,0,0.5,0.598,2,1.0,1,0.0394,0.401,0.00602,0.0785,0.688,142.271
376,Acute Schizophrenia Paranoia Blues,The Kinks,Muswell Hillbillies,212373,2,1971,0,0.575,0.581,7,0.846,1,0.0332,0.846,0.00103,0.068,0.944,106.532
377,Holiday,The Kinks,Muswell Hillbillies,160053,3,1971,0,0.441,0.286,4,0.531,1,0.0454,0.89,4.82e-06,0.105,0.52,152.332
378,Skin & Bone,The Kinks,Muswell Hillbillies,219080,4,1971,0,0.628,0.756,11,0.172,0,0.0527,0.565,0.513,0.1,0.946,140.209
379,Alcohol,The Kinks,Muswell Hillbillies,215733,5,1971,4,0.64,0.307,9,0.862,0,0.0374,0.913,0.00204,0.0974,0.706,118.907
380,Complicated Life,The Kinks,Muswell Hillbillies,242706,6,1971,0,0.411,0.545,2,0.898,1,0.0459,0.704,0.00704,0.168,0.643,128.763
381,Here Come The People In Grey,The Kinks,Muswell Hillbillies,226133,7,1971,0,0.606,0.735,0,0.997,1,0.0406,0.79,0.0182,0.0751,0.685,123.451
382,Have A Cuppa Tea,The Kinks,Muswell Hillbillies,225360,8,1971,0,0.432,0.478,7,0.817,1,0.0403,0.791,0.0339,0.107,0.748,174.446
383,Holloway Jail,The Kinks,Muswell Hillbillies,208573,9,1971,0,0.582,0.644,2,0.766,1,0.0468,0.668,0.00311,0.0845,0.53,152.648
384,Oklahoma U.S.A,The Kinks,Muswell Hillbillies,158986,10,1971,0,0.335,0.166,9,0.984,1,0.0283,0.971,0.133,0.0925,0.301,98.002
385,Uncle Son,The Kinks,Muswell Hillbillies,155453,11,1971,0,0.588,0.341,2,1.0,1,0.0308,0.285,0.949,0.189,0.195,114.28
386,Muswell Hillbilly,The Kinks,Muswell Hillbillies,296973,12,1971,0,0.586,0.553,9,0.7,1,0.0376,0.645,0.31,0.204,0.794,134.979
387,Mountain Woman,The Kinks,Muswell Hillbillies,188706,13,1971,0,0.495,0.796,9,0.496,1,0.0487,0.0553,2.28e-05,0.0681,0.914,161.514
388,Kentucky Moon,The Kinks,Muswell Hillbillies,234346,14,1971,0,0.455,0.221,2,0.864,1,0.0361,0.969,0.666,0.183,0.18,163.859
389,The Contenders,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",161960,1,1970-11-27,3,0.621,0.877,4,0.658,1,0.0607,0.592,0.382,0.699,0.559,97.749
390,Strangers,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",198373,2,1970-11-27,6,0.47,0.397,0,0.893,1,0.0346,0.253,1.35e-05,0.109,0.487,128.689
391,Denmark Street,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",119893,3,1970-11-27,1,0.558,0.835,7,0.493,1,0.0454,0.556,2.52e-05,0.15,0.676,109.955
392,Get Back In Line,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",184160,4,1970-11-27,0,0.332,0.554,7,0.554,1,0.0257,0.142,4.74e-05,0.212,0.414,95.103
393,Lola,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",241040,5,1970-11-27,10,0.474,0.917,9,0.779,1,0.0395,0.582,0.229,0.2,0.902,152.031
394,Top of the Pops,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",219466,6,1970-11-27,1,0.417,0.698,2,0.899,1,0.0972,0.369,0.0103,0.127,0.582,114.722
395,The Moneygoround,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",103360,7,1970-11-27,1,0.618,0.634,2,0.695,1,0.0286,0.874,1.94e-06,0.134,0.671,108.139
396,This Time Tomorrow,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",201426,8,1970-11-27,4,0.395,0.814,4,0.361,0,0.052,0.276,0.00365,0.224,0.748,128.946
397,A Long Way from Home,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",146533,9,1970-11-27,0,0.561,0.576,2,0.856,1,0.0251,0.647,0.000265,0.109,0.369,95.176
398,Rats,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",158773,10,1970-11-27,1,0.48,0.79,9,0.569,1,0.0664,0.284,0.591,0.0675,0.836,144.199
399,Apeman,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",231773,11,1970-11-27,3,0.666,0.764,9,0.821,1,0.299,0.71,0.0083,0.0584,0.845,75.621
400,Powerman,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",256265,12,1970-11-27,1,0.571,0.829,2,0.931,1,0.0319,0.36,0.436,0.118,0.765,98.411
401,Got to Be Free,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",179040,13,1970-11-27,0,0.604,0.933,4,0.643,1,0.0641,0.556,0.000297,0.132,0.585,96.691
402,Lola (Mono 'Cherry Cola' Single Version),The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",244626,14,1970-11-27,1,0.433,0.906,9,0.414,1,0.0534,0.416,3.26e-06,0.204,0.833,149.998
403,Apeman (Stereo Alternate Version),The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",218600,15,1970-11-27,1,0.5,0.817,9,0.512,1,0.206,0.653,0.000191,0.121,0.942,160.792
404,Powerman (Demo),The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",263093,16,1970-11-27,0,0.553,0.906,2,0.984,1,0.0602,0.396,0.666,0.136,0.706,98.129
405,Victoria - Mono Mix,The Kinks,Arthur (Deluxe Edition),220053,1,1969-10-10,50,0.48,0.851,7,0.619,1,0.0337,0.0772,0.00787,0.0772,0.768,141.82
406,"Yes Sir, No Sir - Mono Mix",The Kinks,Arthur (Deluxe Edition),228000,2,1969-10-10,25,0.392,0.755,5,0.417,1,0.122,0.215,9.28e-05,0.0667,0.636,188.873
407,Some Mother's Son - Mono Mix,The Kinks,Arthur (Deluxe Edition),205373,3,1969-10-10,22,0.356,0.659,7,0.155,1,0.0362,0.168,0.0,0.0864,0.388,81.816
408,Drivin' - Mono Mix,The Kinks,Arthur (Deluxe Edition),193066,4,1969-10-10,24,0.592,0.728,2,0.598,1,0.0531,0.185,0.0,0.34,0.689,119.026
409,Brainwashed - Mono Mix,The Kinks,Arthur (Deluxe Edition),154133,5,1969-10-10,26,0.499,0.82,7,0.122,0,0.113,0.0948,0.0294,0.146,0.539,74.312
410,Australia - Mono Mix,The Kinks,Arthur (Deluxe Edition),400826,6,1969-10-10,22,0.35,0.909,8,0.671,1,0.0834,0.0234,0.0102,0.132,0.682,98.785
411,Shangri-La - Mono Mix,The Kinks,Arthur (Deluxe Edition),321120,7,1969-10-10,39,0.367,0.752,5,0.068,1,0.0484,0.0429,0.0,0.12,0.232,112.821
412,Mr. Churchill Says - Mono Mix,The Kinks,Arthur (Deluxe Edition),281706,8,1969-10-10,23,0.379,0.899,7,0.384,1,0.0565,0.0259,0.0175,0.269,0.655,96.853
413,She's Bought a Hat Like Princess Marina - Mono Mix,The Kinks,Arthur (Deluxe Edition),188000,9,1969-10-10,18,0.462,0.831,7,0.532,1,0.0804,0.208,0.0,0.0753,0.572,117.526
