,Unnamed: 0,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Song,Main composer,Singer,lead
26,26,OCTOPUS'S GARDEN,The Beatles,Abbey Road,170720,5,1969,62,0.626,0.512,Db,0.43799999999999994,Minor,0.0247,0.155,4.6500000000000005e-05,0.215,0.73,92.225,OCTOPUS'S GARDEN,Starr,Starr,Starr
27,27,I WANT YOU (SHE'S SO HEAVY),The Beatles,Abbey Road,467320,6,1969,62,0.37,0.515,D,0.252,Minor,0.0321,0.0233,0.205,0.0966,0.42,115.73200000000001,I WANT YOU (SHE'S SO HEAVY),Lennon,Lennon,Lennon
28,28,HERE COMES THE SUN,The Beatles,Abbey Road,185733,7,1969,82,0.557,0.54,A,0.84,Major,0.0347,0.0339,0.00248,0.179,0.39399999999999996,129.171,HERE COMES THE SUN,Harrison,Harrison,Harrison
29,29,BECAUSE,The Beatles,Abbey Road,165666,8,1969,59,0.32799999999999996,0.249,D,0.56,Major,0.0272,0.754,5.77e-06,0.134,0.162,81.257,BECAUSE,Lennon,Lennon/McCartney/Harrison,Lennon
30,30,YOU NEVER GIVE ME YOUR MONEY,The Beatles,Abbey Road,242973,9,1969,58,0.335,0.41600000000000004,C,0.379,Major,0.0348,0.345,0.136,0.11599999999999999,0.223,174.46400000000003,YOU NEVER GIVE ME YOUR MONEY,McCartney,McCartney,McCartney
31,31,SUN KING,The Beatles,Abbey Road,146266,10,1969,56,0.483,0.177,D,0.504,Major,0.0277,0.284,0.499,0.11599999999999999,0.192,74.994,SUN KING,Lennon,Lennon,Lennon
32,32,MEAN MR MUSTARD,The Beatles,Abbey Road,66533,11,1969,55,0.6759999999999999,0.596,E,0.48200000000000004,Major,0.0272,0.0699,1.9600000000000002e-05,0.35100000000000003,0.97,100.68700000000001,MEAN MR MUSTARD,Lennon,Lennon,Lennon
33,33,POLYTHENE PAM,The Beatles,Abbey Road,72640,12,1969,55,0.474,0.9390000000000001,B,0.5660000000000001,Minor,0.19899999999999998,0.00472,0.674,0.19,0.499,166.829,POLYTHENE PAM,Lennon,Lennon,Lennon
34,34,SHE CAME IN THROUGH THE BATHROOM WINDOW,The Beatles,Abbey Road,118626,13,1969,58,0.53,0.72,D,0.769,Major,0.0338,0.0037600000000000003,3.3799999999999995e-05,0.314,0.69,80.652,SHE CAME IN THROUGH THE BATHROOM WINDOW,McCartney,McCartney,McCartney
35,35,GOLDEN SLUMBERS,The Beatles,Abbey Road,91760,14,1969,64,0.419,0.152,C,0.5920000000000001,Major,0.0277,0.326,0.0034,0.113,0.239,80.608,GOLDEN SLUMBERS,McCartney,McCartney,McCartney
36,36,CARRY THAT WEIGHT,The Beatles,Abbey Road,96466,15,1969,61,0.5429999999999999,0.45799999999999996,C,0.405,Major,0.0274,0.226,0.00663,0.298,0.7040000000000001,84.319,CARRY THAT WEIGHT,McCartney,McCartney,McCartney
37,37,THE END,The Beatles,Abbey Road,141613,16,1969,57,0.647,0.48700000000000004,B,0.0,Minor,0.0689,0.00101,0.285,0.138,0.222,123.444,THE END,McCartney,McCartney,McCartney
38,38,HER MAJESTY,The Beatles,Abbey Road,25986,17,1969,22,0.703,0.215,D,0.31,Major,0.0892,0.728,1.23e-06,0.13,0.522,100.874,HER MAJESTY,McCartney,McCartney,McCartney
39,39,ONLY A NORTHERN SONG,The Beatles,Yellow Submarine,204493,2,1969,41,0.175,0.731,A,0.511,Major,0.0705,0.000341,0.0007509999999999999,0.0846,0.8009999999999999,209.24200000000002,ONLY A NORTHERN SONG,Harrison,Harrison,Harrison
40,40,ALL TOGETHER NOW,The Beatles,Yellow Submarine,130893,3,1969,44,0.5870000000000001,0.431,D,0.115,Major,0.0686,0.0722,0.0,0.561,0.778,95.93700000000001,ALL TOGETHER NOW,McCartney,McCartney,McCartney
41,41,HEY BULLDOG,The Beatles,Yellow Submarine,191306,4,1969,53,0.5870000000000001,0.617,G,0.0,Major,0.027999999999999997,0.0197,0.639,0.19899999999999998,0.9470000000000001,100.495,HEY BULLDOG,Lennon/McCartney,Lennon,Lennon
42,42,IT'S ALL TOO MUCH,The Beatles,Yellow Submarine,385013,5,1969,42,0.39,0.7809999999999999,G,0.614,Major,0.0364,4.3e-05,0.41200000000000003,0.1,0.19899999999999998,113.51100000000001,IT'S ALL TOO MUCH,Harrison,Harrison,Harrison
